,loss,accuracy,val_loss,val_accuracy
0,0.9621913403739645,0.7179515361785889,0.10426492798446522,0.9682539701461792
1,0.23128045348068632,0.9279078245162964,0.06097345148818829,0.9829931855201721
2,0.15336336393766345,0.9516290426254272,0.04071230208744385,0.9873015880584717
3,0.11697245274273271,0.9637185335159302,0.03136667584622084,0.9911564588546753
4,0.1006831343004181,0.9689293503761292,0.02648162614946638,0.9927437901496887
5,0.08866549008039418,0.9724791646003723,0.03866655911024173,0.9907029271125793
6,0.07984906068542107,0.9756092429161072,0.06554079125169705,0.9900226593017578
7,0.07071549018026081,0.978969395160675,0.03834821040860823,0.9895691871643066
8,0.07069388944278279,0.9793193936347961,0.029158131814708547,0.9934240579605103
9,0.06364969120385618,0.9807994365692139,0.027525560236116582,0.9922902584075928
